real    1m38.827s
user    1m36.780s
sys     0m2.027s

83.149.9.216 23
24.236.252.67 1
93.114.45.13 6
66.249.73.135 482
50.16.19.13 113
66.249.73.185 56
110.136.166.128 6
46.105.14.53 364
123.125.71.35 1
50.150.204.184 1
207.241.237.225 13
200.49.190.101 3
200.49.190.100 1
67.214.178.190 2
207.241.237.220 18
207.241.237.227 17
91.177.205.119 6
207.241.237.228 16
207.241.237.101 17
87.169.99.232 1
209.85.238.199 102
81.220.24.207 6
218.30.103.62 16
74.125.40.20 2
71.212.224.97 5
108.174.55.234 23
121.107.188.202 1
198.46.149.143 82
86.1.76.62 6
107.170.41.69 10
208.115.111.72 83
50.180.79.170 2
105.235.130.196 6
174.37.205.76 1
54.255.13.204 6
134.76.249.10 8
68.184.202.186 6
24.233.162.179 1
123.125.71.117 1
220.181.108.153 1
65.19.138.34 3
97.116.185.190 6
5.255.72.168 2
5.102.173.71 2
208.91.156.11 60
74.125.176.81 1
187.45.193.158 8
90.220.199.149 6
36.38.8.174 6
71.207.12.53 2
220.241.45.142 2
146.1.1.2 15
178.255.215.83 22
212.201.44.247 2
82.193.99.33 3
85.170.84.143 5
100.43.83.137 84
50.131.51.216 17
212.197.170.45 2
112.110.247.238 1
108.32.74.68 14
203.118.242.184 1
212.242.185.85 6
68.180.224.225 99
223.81.196.65 1
178.191.44.227 2
94.228.34.233 7
88.112.19.251 11
79.185.184.23 6
207.241.237.102 13
66.168.50.129 1
82.247.137.135 6
74.125.40.16 2
86.182.52.145 6
92.239.20.53 2
180.76.5.27 1
173.192.238.41 3
93.164.60.142 1
108.178.4.100 2
111.199.235.239 37
108.171.116.194 65
94.175.135.116 1
207.241.237.223 21
199.16.156.126 8
193.238.231.119 6
199.16.156.125 9
207.241.237.226 11
207.241.237.104 13
54.220.160.83 5
83.31.73.148 2
74.125.40.22 3
180.76.6.156 2
66.249.81.20 4
92.108.120.46 2
172.56.29.98 1
144.76.194.187 41
75.97.9.59 273
173.252.73.114 1
217.69.133.70 4
217.69.133.237 4
209.17.114.78 40
50.195.216.83 1
202.156.10.254 3
202.156.10.11 2
65.55.213.79 7
65.55.213.73 60
117.227.171.181 6
65.55.213.74 29
81.169.149.220 1
84.85.130.133 12
217.212.224.183 2
217.212.224.181 5
54.226.176.99 1
194.29.137.5 14
192.95.12.193 4
95.153.89.104 1
173.192.238.58 3
74.125.176.149 6
41.223.160.234 1
50.18.71.222 1
198.228.201.147 3
107.170.40.203 4
89.2.87.1 18
89.176.234.221 1
208.54.40.237 6
166.147.88.15 5
183.60.243.242 1
82.165.139.53 5
23.231.5.40 1
207.241.237.221 9
37.130.227.133 1
180.76.6.48 1
31.142.223.246 1
109.167.131.110 7
74.125.176.151 8
88.184.51.134 7
143.233.204.28 9
80.153.191.173 6
119.63.196.16 1
180.180.119.57 2
67.61.162.49 6
89.170.74.95 2
157.55.32.190 4
222.77.201.107 4
176.31.103.52 12
180.76.5.149 1
144.76.95.39 27
198.143.156.2 2
80.237.234.150 4
94.222.112.110 6
120.202.255.147 10
74.125.176.146 9
108.91.82.251 7
46.119.119.29 3
195.248.32.227 5
207.241.237.224 12
116.125.143.84 2
54.219.224.86 1
99.188.185.40 1
202.65.130.3 1
201.244.101.132 1
197.206.232.180 1
180.76.6.53 2
109.87.146.211 1
166.82.99.140 1
216.14.102.16 9
89.100.113.231 1
107.170.40.205 4
185.26.239.20 2
213.21.42.46 6
84.198.71.68 1
219.137.88.123 1
74.208.180.23 1
74.125.176.148 6
46.165.197.151 2
91.221.131.30 19
157.56.92.164 1
180.76.5.59 1
71.171.122.192 1
199.16.156.124 7
120.59.2.54 6
98.216.194.189 4
64.237.35.242 4
180.76.6.57 1
71.9.98.194 6
187.214.29.27 1
66.249.81.91 13
217.71.46.55 1
128.237.28.16 1
122.166.142.108 34
195.250.34.144 3
74.125.40.17 3
131.191.91.87 1
75.134.169.174 6
67.170.98.63 9
207.255.245.133 6
37.31.40.234 2
54.219.117.220 1
157.56.92.158 3
188.122.8.79 13
217.69.133.238 5
180.76.5.22 3
123.125.71.116 1
68.193.198.76 1
194.94.204.181 2
70.190.77.28 2
192.30.34.115 1
220.181.108.149 1
50.132.55.62 5
112.110.247.233 1
